Filename,Inference Time (ms),Temperature (°C),Used RAM (MB),CPU Usage (%)
frame0293.jpg,215,77.9,845.562,0
frame0318.jpg,216,78.5,845.047,0
frame0201.jpg,218,77.9,846.391,0
frame0447.jpg,217,77.9,847.297,0
frame0261.jpg,215,76.8,845.75,0
frame0519.jpg,215,77.4,846.734,0
frame0626.jpg,215,77.9,845.75,0
frame0035.jpg,216,76.8,846.312,50
frame0456.jpg,215,76.8,846.047,0
frame0540.jpg,217,75.7,845.844,0
frame0209.jpg,216,74.7,845.094,0
frame0294.jpg,215,74.7,845.766,0
frame0158.jpg,216,73.6,844.781,33.3
frame0174.jpg,215,75.2,845.109,0
frame0020.jpg,216,75.7,845.141,0
frame0034.jpg,216,75.7,846.281,0
frame0562.jpg,216,76.3,846.688,0
frame0273.jpg,217,75.7,846.188,33.3
frame0228.jpg,216,76.3,846.375,0
frame0579.jpg,215,76.3,846.516,0
frame0374.jpg,217,76.3,846.25,33.3
frame0159.jpg,223,75.7,846.438,0
frame0062.jpg,215,76.8,846.156,33.3
frame0513.jpg,216,76.3,846.125,33.3
frame0473.jpg,216,76.3,847.484,33.3
frame0055.jpg,217,76.3,846.016,0
frame0434.jpg,215,76.3,845.5,0
frame0233.jpg,216,75.7,845.453,33.3
frame0474.jpg,215,76.8,846.812,33.3
frame0462.jpg,216,77.9,847.219,33.3
frame0021.jpg,214,77.4,846.359,50
frame0426.jpg,215,78.5,846.422,0
frame0148.jpg,215,76.8,847.766,0
frame0079.jpg,215,76.8,846.312,0
frame0614.jpg,216,76.8,845.781,0
frame0582.jpg,216,77.9,845.984,33.3
frame0210.jpg,215,77.9,846.422,33.3
frame0448.jpg,217,78.5,846.609,0
frame0508.jpg,215,79,846.547,33.3
frame0271.jpg,216,76.8,846.047,0
frame0052.jpg,216,76.8,846.203,0
frame0302.jpg,218,78.5,845.891,0
frame0101.jpg,215,77.4,845.594,33.3
frame0371.jpg,215,77.4,845.078,0
frame0157.jpg,216,77.4,845.734,50
frame0464.jpg,215,77.4,844.734,33.3
frame0442.jpg,215,77.9,846.25,0
frame0574.jpg,215,77.4,846.453,66.7
frame0246.jpg,217,78.5,846.453,50
frame0226.jpg,217,77.9,846.141,50
frame0457.jpg,215,77.9,845.859,0
frame0444.jpg,214,77.9,846.281,33.3
frame0081.jpg,216,77.9,847.156,0
frame0135.jpg,217,77.4,846.641,0
frame0145.jpg,215,77.9,845.891,33.3
frame0225.jpg,215,77.9,845.5,50
frame0317.jpg,215,78.5,846.516,0
frame0146.jpg,215,77.9,847.531,0
frame0166.jpg,214,77.4,847.812,50
frame0487.jpg,216,76.3,846.953,33.3
frame0501.jpg,217,77.9,847.969,50
frame0086.jpg,216,77.9,847.906,0
frame0152.jpg,219,77.9,846.672,0
frame0310.jpg,216,77.4,845.703,33.3
frame0032.jpg,217,77.9,846.344,33.3
frame0421.jpg,216,79,846.062,33.3
